Date,Temperature
1987-02,6.8
1987-03,9.3
1987-04,14.4
1987-05,19.3
1987-06,22.1
1987-07,27.0
1987-08,27.3
1987-09,23.3
1987-10,18.9
1987-11,12.8
1987-12,8.1
1988-01,7.7
1988-02,4.9
1988-03,8.4
1988-04,14.3
1988-05,18.2
1988-06,22.3
1988-07,22.4
1988-08,27.0
1988-09,22.8
1988-10,17.5
1988-11,11.4
1988-12,8.4
1989-01,8.1
1989-02,7.5
1989-03,9.6
1989-04,15.6
1989-05,17.7
1989-06,20.7
1989-07,24.1
1989-08,27.1
1989-09,25.2
1989-10,17.5
1989-11,14.2
1989-12,9.2
1990-01,5.0
1990-02,7.8
1990-03,10.6
1990-04,14.7
1990-05,19.2
1990-06,23.5
1990-07,25.7
1990-08,28.6
1990-09,24.8
1990-10,19.2
1990-11,15.1
1990-12,10.0
1991-01,6.3
1991-02,6.5
1991-03,9.5
1991-04,15.4
1991-05,18.8
1991-06,23.6
1991-07,26.7
1991-08,25.5
1991-09,23.9
1991-10,18.1
1991-11,13.0
1991-12,9.2
1992-01,6.8
1992-02,6.9
1992-03,9.7
1992-04,15.1
1992-05,17.3
1992-06,20.6
1992-07,25.5
1992-08,27.0
1992-09,23.3
1992-10,17.3
1992-11,13.0
1992-12,9.4
1993-01,6.2
1993-02,7.7
1993-03,8.7
1993-04,13.4
1993-05,18.1
1993-06,21.7
1993-07,22.5
1993-08,24.8
1993-09,22.9
1993-10,17.5
1993-11,14.1
1993-12,8.5
1994-01,5.5
1994-02,6.6
1994-03,8.1
1994-04,15.8
1994-05,19.5
1994-06,22.4
1994-07,28.3
1994-08,28.9
1994-09,24.8
1994-10,20.2
1994-11,13.4
1994-12,9.0
1995-01,6.3
1995-02,6.5
1995-03,8.9
1995-04,15.0
1995-05,19.1
1995-06,20.4
1995-07,26.4
1995-08,29.4
1995-09,23.7
1995-10,19.5
1995-11,12.7
1995-12,7.7
1996-01,6.6
1996-02,5.4
1996-03,9.2
1996-04,12.7
1996-05,18.1
1996-06,22.6
1996-07,26.2
1996-08,26.0
1996-09,22.4
1996-10,18.0
1996-11,13.2
1996-12,9.3
1997-01,6.8
1997-02,7.0
1997-03,10.5
1997-04,15.2
1997-05,19.2
1997-06,22.7
1997-07,26.6
1997-08,27.0
1997-09,22.9
1997-10,18.7
1997-11,14.3
1997-12,9.2
1998-01,5.3
1998-02,7.0
1998-03,10.1
1998-04,16.3
1998-05,20.5
1998-06,21.5
1998-07,25.3
1998-08,27.2
1998-09,24.4
1998-10,20.1
1998-11,13.9
1998-12,9.0
1999-01,6.6
